Временная почта				
	Провесра	Название ресурса	Адресс	 Осписание
1	не проверил	Tempr.email	https://tempr.email/en/	Позволяет вам иметь временную электронную почту, чтобы вы могли защитить свою личность. Вы можете использовать сервис для настольных компьютеров, смартфонов и планшетов и даже настроить свой собственный домен. Ваши электронные письма будут доступны в течение 30 дней и пройдут через спам-фильтры.
2	не проверил	Temp Mail	https://temp-mail.org/en	Сервис для бесплатного предоставления временного, безопасного, анонимного, одноразового адреса электронной почты. Электронные письма уничтожаются через определенное время, поэтому любая почта, поступающая из источников спама, рекламы или вредоносных программ, будет отфильтрована и удалена.
3	не проверил	10 Minute Mail	https://10minutemail.net/	10MuniteMail предлагает вам адрес электронной почты, срок действия которого истекает через 10 минут (однако вы можете продлить это время еще на 10 минут). Это отличное решение против тех веб-сайтов, которым для регистрации требуется ваш адрес электронной почты.
4	не проверил	MailFence	https://mailfence.com/en/	MailFence предлагает вам конфиденциальность информации, которая вам требуется от анонимного почтового сервиса. Он не отслеживает вас и предлагает сквозное шифрование ваших электронных писем.
5	не проверил	5ymail	https://www.5ymail.com/	5ymail предоставляет анонимную службу электронной почты, с помощью которой вы можете отправлять, получать, пересылать или отвечать на электронные письма, не раскрывая свою личность. Сервис имеет множество настроек, чтобы установить формат или отслеживать статус прочитанного/непрочитанного письма среди многих других.
" Зашифрованная или анонимная электронная почта. 
Вот некоторые из анонимных почтовых сервисов, которые позволяют анонимно отправлять и получать электронные письма онлайн. Некоторые из них имеют функции шифрования, другие одноразовые или самоуничтожаются через определенный период времени."				
6	не проверил	GuerrilaMail 	https://www.guerrillamail.com/	GuerrillaMail предлагает вам одноразовый, самоуничтожаемый временный адрес электронной почты для анонимной отправки и получения электронных писем в Интернете. Почта удаляется через час. Вам нужно только выбрать адрес электронной почты — никаких личных данных не требуется.
7	не проверил	Secure Mail 	https://www.secure-email.org/index.php	Эта служба шифрует вашу почту с помощью 4096-битного ключа, что делает ее нечитаемой никем, кроме вас. Он также не запрашивает вашу личную информацию или IP-адрес для регистрации. Помимо прочего у сервиса есть политика абсолютной нетерпимости к спаму.
8	не проверил	AnonymousEmail.me 	https://anonymousemail.me/	Здесь вы найдете только простую форму для заполнения адреса получателя, темы и содержания электронного письма (при необходимости вы также можете прикрепить файл к письму). Чтобы получить ответ, выберите адрес электронной почты для ответа, в противном случае это билет в один конец для отправки анонимного электронного письма.
9	не проверил	CyberAtlantis	https://cyberatlantis.com/anonymous_email.php	Сервис предлагает простой интерфейс для предоставления адреса электронной почты получателя, темы и сообщения. Он удаляет IP-адрес из вашей почты, и поэтому вас не так легко отследить. Также сайт не запрашивает никакой вашей личной информации.
10	не проверил	W3 Anonymous Remailer	http://gilc.org/speech/anonymous/remailer.html	Отправляйте анонимные электронные письма кому угодно. Вам нужно только ввести адрес электронной почты получателя, тему и сообщение для электронного письма.
11	не проверил	Send Anonymous Email	http://gilc.org/speech/anonymous/remailer.html	Данный сервис работает с простым интерфейсом для ввода адреса, темы и сообщения отправителя. Никаких других данных для отправки электронных писем не требуется.
12	не проверил	Send Email Message	https://send-email.org/	Вам нужно только ввести адрес электронной почты получателя, тему и сообщение. Ежедневно бесплатно отправляется более 100 000 анонимных писем.
13	не проверил	AnonEmail	http://anonymouse.org/anonemail.html	Вы можете отправлять анонимные электронные письма, не раскрывая никакой информации о своей личности.
14	не проверил	myTrashMail	https://www.mytrashmailer.com/	Сервис предлагает открытые и общедоступные учетные записи электронной почты, созданные при получении почты, или частный и защищенный паролем ящик в случае регистрации. Учетные записи временные и будут автоматически удалены через некоторое время.
15	не проверил	TempInbox	http://tempinbox.com/	Еще одна временная, одноразовая, автоматическая служба почтовых ящиков. Укажите любой адрес электронной почты, а затем проверьте входящие сообщения в почтовом ящике на веб-сайте.
